E:\SuperCoolAICarWhichCanWalkDanceRunFax\/IMG0\Image_1670571183550737.png,0.5
E:\SuperCoolAICarWhichCanWalkDanceRunFax\/IMG0\Image_1670571184603343.png,0.5
E:\SuperCoolAICarWhichCanWalkDanceRunFax\/IMG0\Image_1670571185643423.png,0.5
E:\SuperCoolAICarWhichCanWalkDanceRunFax\/IMG0\Image_1670571186666485.png,0.5
E:\SuperCoolAICarWhichCanWalkDanceRunFax\/IMG0\Image_167057118769136.png,0.5
E:\SuperCoolAICarWhichCanWalkDanceRunFax\/IMG0\Image_1670571188714548.png,0.5
E:\SuperCoolAICarWhichCanWalkDanceRunFax\/IMG0\Image_1670571189772466.png,0.5
E:\SuperCoolAICarWhichCanWalkDanceRunFax\/IMG0\Image_1670571190858501.png,0.5
E:\SuperCoolAICarWhichCanWalkDanceRunFax\/IMG0\Image_1670571191883785.png,0.5
E:\SuperCoolAICarWhichCanWalkDanceRunFax\/IMG0\Image_1670571192908311.png,0.5
